"jsunit","1"
"cmvc","2"
"Schmant","3"
"copyarchiver","3"
"fitnesse","3"
"SCTMExecutor","4"
"sfee","5"
"buckminster","6"
"gnat","6"
"kundo","7"
"tuxdroid","8"
"drools","10"
"kagemai","12"
"promoted-builds-simple","12"
"harvest","15"
"bitkeeper","17"
"windmill","17"
"collabnet","18"
"cygpath","20"
"gallio","21"
"pvcs_scm","21"
"hadoop","22"
"backlog","23"
"powershell","23"
"translation","25"
"javanet-uploader","31"
"pxe","31"
"crowd","33"
"synergy","33"
"scons","34"
"github","36"
"javanet","42"
"nabaztag","44"
"starteam","47"
"swarm","47"
"cmakebuilder","48"
"hgca","48"
"ec2","50"
"gradle","57"
"accurev","58"
"hudson-logaction-plugin","60"
"hudson-wsclean-plugin","69"
"tfs","72"
"grinder","73"
"easyant","79"
"googlecode","82"
"googleanalytics","84"
"schedule-failed-builds","88"
"cccc","103"
"svncompat14","106"
"phing","108"
"javatest-report","109"
"selenium","111"
"join","123"
"zentimestamp","136"
"cppunit","138"
"regexemail","138"
"vss","147"
"gant","150"
"mstest","152"
"naginator","153"
"svncompat13","155"
"rubyMetrics","157"
"webtestpresenter","157"
"port-allocator","163"
"sectioned-view","163"
"japex","167"
"slave-status","169"
"hudsontrayapp","183"
"ircbot","198"
"grails","200"
"ivy","203"
"gcal","204"
"viewVC","207"
"selenium-aes","213"
"template-project","216"
"testabilityexplorer","216"
"vmware","217"
"URLSCM","234"
"twitter","237"
"cvs-tag","241"
"redmine","244"
"seleniumhq","255"
"xvnc","260"
"groovy","267"
"rake","267"
"m2-extra-steps","273"
"polarion","275"
"parameterized-trigger","281"
"radiatorviewplugin","283"
"ruby","283"
"url-change-trigger","294"
"sloccount","305"
"claim","308"
"mantis","308"
"doxygen","310"
"mercurial","318"
"build-publisher","319"
"javancss","324"
"locale","336"
"changelog-history","346"
"nant","350"
"ldapemail","351"
"ftppublisher","359"
"sidebar-link","365"
"description-setter","372"
"statusmonitor","383"
"backup","387"
"clover","398"
"crap4j","406"
"perforce","408"
"bugzilla","447"
"clearcase","449"
"plot","464"
"dependencyanalyzer","468"
"promoted-builds","509"
"nunit","512"
"locks-and-latches","513"
"git","531"
"svn-release-mgr","542"
"text-finder","549"
"m2release","561"
"jabber","564"
"release","574"
"dry","592"
"audit-trail","606"
"msbuild","701"
"trac","878"
"scp","951"
"sonar","964"
"active-directory","1016"
"emma","1092"
"ci-game","1096"
"build-timeout","1120"
"svn-tag","1130"
"jira","1139"
"greenballs","1153"
"deploy","1179"
"batch-task","1219"
"violations","1317"
"disk-usage","1526"
"emotional-hudson","1577"
"tasks","1736"
"pmd","1909"
"subversion","1910"
"warnings","1939"
"cobertura","1953"
"email-ext","2149"
"checkstyle","2210"
"findbugs","2630"
"ssh-slaves","7609"
"maven-plugin","8445"
