"SCTMExecutor","1"
"bitkeeper","2"
"sfee","2"
"synergy","2"
"pvcs_scm","3"
"testabilityexplorer","3"
"javanet-uploader","4"
"javanet","7"
"starteam","7"
"gradle","8"
"phing","8"
"accurev","10"
"tfs","10"
"doxygen","13"
"grails","14"
"rubyMetrics","14"
"zentimestamp","14"
"schedule-failed-builds","15"
"googlecode","16"
"googleanalytics","19"
"regexemail","19"
"ivy","21"
"vss","21"
"javatest-report","22"
"port-allocator","23"
"sidebar-link","23"
"selenium-aes","24"
"svncompat14","24"
"ruby","25"
"gant","27"
"rake","27"
"svncompat13","28"
"japex","29"
"redmine","29"
"twitter","29"
"naginator","31"
"vmware","31"
"ftppublisher","32"
"url-change-trigger","32"
"javancss","33"
"gcal","35"
"hudsontrayapp","36"
"webtestpresenter","36"
"groovy","37"
"xvnc","37"
"URLSCM","38"
"ircbot","38"
"build-publisher","40"
"cvs-tag","40"
"nant","40"
"mantis","43"
"polarion","43"
"description-setter","44"
"ldapemail","44"
"viewVC","44"
"git","46"
"ssh-slaves","46"
"mercurial","51"
"perforce","53"
"clover","56"
"clearcase","57"
"nunit","60"
"claim","61"
"bugzilla","73"
"locale","74"
"dependencyanalyzer","78"
"text-finder","78"
"sonar","80"
"crap4j","82"
"msbuild","82"
"plot","82"
"locks-and-latches","88"
"jabber","90"
"promoted-builds","97"
"active-directory","123"
"scp","131"
"trac","139"
"jira","154"
"emma","166"
"svn-tag","166"
"deploy","169"
"build-timeout","172"
"ci-game","179"
"batch-task","189"
"violations","210"
"emotional-hudson","249"
"cobertura","282"
"pmd","299"
"tasks","301"
"disk-usage","312"
"email-ext","312"
"checkstyle","343"
"warnings","364"
"findbugs","404"
